2022/03/28 09:37:17 - DEBUG - 38 - create_dir - Succeed in creating directory: ../data/d_link
2022/03/28 09:37:17 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:17 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /AllPro.aspx HTTP/1.1" 200 58234
2022/03/28 09:37:17 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:18 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-1000 HTTP/1.1" 200 21026
2022/03/28 09:37:18 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:20 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-504N HTTP/1.1" 200 21174
2022/03/28 09:37:20 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:20 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431440727&action=productfile&lang=zh-cn&ver=5 HTTP/1.1" 200 381
2022/03/28 09:37:20 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:23 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-7100G HTTP/1.1" 200 33170
2022/03/28 09:37:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:23 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431443422&action=productfile&lang=zh-cn&ver=2261 HTTP/1.1" 200 304
2022/03/28 09:37:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:23 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431443768&action=productfile&lang=zh-cn&ver=2302 HTTP/1.1" 200 447
2022/03/28 09:37:23 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:24 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431443927&action=productfile&lang=zh-cn&ver=166 HTTP/1.1" 200 303
2022/03/28 09:37:24 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:25 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-7500G HTTP/1.1" 200 35889
2022/03/28 09:37:25 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:43 - DEBUG - 40 - create_dir - Directory ../data/d_link already exists!
2022/03/28 09:37:43 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:44 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /AllPro.aspx HTTP/1.1" 200 58234
2022/03/28 09:37:44 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:45 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-1000 HTTP/1.1" 200 20979
2022/03/28 09:37:45 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:47 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-504N HTTP/1.1" 200 21174
2022/03/28 09:37:47 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:47 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431467637&action=productfile&lang=zh-cn&ver=5 HTTP/1.1" 200 381
2022/03/28 09:37:47 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:49 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ProductInfo.aspx?m=DI-7100G HTTP/1.1" 200 33170
2022/03/28 09:37:49 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
2022/03/28 09:37:49 - DEBUG - 456 - _make_request - http://support.dlink.com.cn:9000 "GET /ajax/ajax.ashx?d=1648431469370&action=productfile&lang=zh-cn&ver=2261 HTTP/1.1" 200 304
2022/03/28 09:37:49 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.dlink.com.cn:9000
