2022/03/28 09:43:05 - DEBUG - 38 - create_dir - Succeed in creating directory: data/mi
2022/03/28 09:43:05 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:06 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3ADEV&callback=jQuery151005673262466502814_1648431785099&_=1648431785099 HTTP/1.1" 200 None
2022/03/28 09:43:06 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:07 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3ASTA&callback=jQuery151006024643697540087_1648431786144&_=1648431786144 HTTP/1.1" 200 None
2022/03/28 09:43:07 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:08 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3DDEV&callback=jQuery151009638638500118304_1648431787269&_=1648431787269 HTTP/1.1" 200 None
2022/03/28 09:43:08 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:09 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3DSTA&callback=jQuery151000591370914081477_1648431788245&_=1648431788245 HTTP/1.1" 200 None
2022/03/28 09:43:09 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:10 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3PDEV&callback=jQuery151036982114552423073_1648431789376&_=1648431789376 HTTP/1.1" 200 None
2022/03/28 09:43:10 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:11 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3PSTA&callback=jQuery151003115510242376389_1648431790443&_=1648431790443 HTTP/1.1" 200 None
2022/03/28 09:43:11 - DEBUG - 1001 - _new_conn - Starting new HTTPS connection (1): api.miwifi.com:443
2022/03/28 09:43:12 - DEBUG - 456 - _make_request - https://api.miwifi.com:443 "GET /upgrade/log/latest?typeList=R3LDEV&callback=jQuery151004438570191904714_1648431791465&_=1648431791465 HTTP/1.1" 200 None
