2022/03/28 08:35:53 - DEBUG - 38 - create_dir - Succeed in creating directory: data/netcore
2022/03/28 08:36:06 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:36:06 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=1 HTTP/1.1" 200 5609
2022/03/28 08:36:39 - DEBUG - 40 - create_dir - Directory data/netcore already exists!
2022/03/28 08:36:42 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:36:42 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=1 HTTP/1.1" 200 5609
2022/03/28 08:37:07 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:37:07 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/597/cid/12.html HTTP/1.1" 200 4529
2022/03/28 08:43:30 - DEBUG - 40 - create_dir - Directory data/netcore already exists!
2022/03/28 08:43:38 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:43:38 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=1 HTTP/1.1" 200 5608
2022/03/28 08:43:43 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:43:44 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/597/cid/12.html HTTP/1.1" 200 4529
2022/03/28 08:45:28 - DEBUG - 40 - create_dir - Directory data/netcore already exists!
2022/03/28 08:45:30 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:45:31 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=1 HTTP/1.1" 200 5611
2022/03/28 08:45:34 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:45:35 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/597/cid/12.html HTTP/1.1" 200 4529
2022/03/28 08:45:43 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 08:45:44 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /admin/20210301/202103011053384723.pdf HTTP/1.1" 404 1991
2022/03/28 08:45:44 - DEBUG - 125 - save - Saving File 202103011053384723.pdf..
2022/03/28 08:45:44 - DEBUG - 131 - save - Succeed in saving file 202103011053384723.pdf
2022/03/28 09:03:50 - DEBUG - 40 - create_dir - Directory data/netcore already exists!
2022/03/28 09:03:50 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
