2022/03/28 09:44:51 - DEBUG - 38 - create_dir - Succeed in creating directory: ../data/netgear
2022/03/28 09:44:51 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:52 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /download.asp HTTP/1.1" 302 0
2022/03/28 09:44:52 - DEBUG - 273 - _get_conn - Resetting dropped connection: support.netgear.cn
2022/03/28 09:44:52 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /download.asp?WebShieldDRSessionVerify=XOSz1mK1EOSTFGh5qSmH HTTP/1.1" 302 0
2022/03/28 09:44:52 - DEBUG - 273 - _get_conn - Resetting dropped connection: support.netgear.cn
2022/03/28 09:44:52 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /download.asp HTTP/1.1" 200 None
2022/03/28 09:44:52 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:53 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2267 HTTP/1.1" 200 None
2022/03/28 09:44:53 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:53 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2178 HTTP/1.1" 200 None
2022/03/28 09:44:54 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:54 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2271 HTTP/1.1" 200 None
2022/03/28 09:44:54 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:54 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=2406 HTTP/1.1" 200 None
2022/03/28 09:44:54 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:55 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1922 HTTP/1.1" 200 None
2022/03/28 09:44:55 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:55 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1874 HTTP/1.1" 200 None
2022/03/28 09:44:56 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:56 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1875 HTTP/1.1" 200 None
2022/03/28 09:44:56 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:56 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1876 HTTP/1.1" 200 None
2022/03/28 09:44:56 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:57 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1877 HTTP/1.1" 200 None
2022/03/28 09:44:57 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:57 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1878 HTTP/1.1" 200 None
2022/03/28 09:44:58 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): support.netgear.cn:80
2022/03/28 09:44:58 - DEBUG - 456 - _make_request - http://support.netgear.cn:80 "GET /doucument/Detail.asp?id=1821 HTTP/1.1" 200 None
